0 24 650 37 60 73 27 45 29 84 71 64 43 98 88 56 45 47 4 10 83 78 16 81 56 32 94 46 53 9 89 85 81 67 29 3 51 25 45 87 74 94 18 82 97 28 64 26 95 44 33
1 24 689 26 90 66 42 87 18 95 58 50 27 76 30 88 78 32 12 22 18 37 58 64 7 39 12 34 55 90 80 57 91 98 78 56 64 72 65 65 99 41 95 38 18 49 92 96 37 1 11
2 24 648 43 39 74 28 45 63 7 95 37 64 85 75 13 14 83 28 86 99 93 36 39 39 73 9 16 73 52 63 61 52 4 42 47 31 87 61 90 33 97 5 69 24 17 83 58 97 20 56
3 24 593 89 55 47 79 79 7 94 3 58 9 63 9 33 18 2 79 1 88 92 90 72 40 41 15 62 23 42 80 98 48 26 76 78 32 22 32 30 46 14 64 45 16 36 5 13 75 50 53
4 24 689 90 63 27 13 73 20 92 70 67 69 98 96 52 71 25 92 65 40 94 9 55 35 44 59 99 71 60 52 12 74 30 76 46 50 68 16 36 65 64 88 35 42 31 86 66 23 50 57
5 24 507 68 59 11 54 54 21 52 76 80 55 87 54 85 63 51 34 82 66 1 69 30 16 8 16 10 39 27 13 3 84 13 94 18 15 36 94 46 43 32 51 94 2 12 27 19 12 96 49
6 24 673 80 3 16 89 41 17 15 53 71 98 84 83 44 68 100 58 56 93 55 98 25 6 76 70 59 87 97 77 50 44 77 29 46 93 69 39 61 84 43 31 33 79 13 28 98 64 37 5
7 24 544 57 92 2 33 49 29 54 59 15 2 35 65 45 64 93 43 56 14 33 68 27 98 5 62 61 3 25 97 7 33 40 61 17 40 89 71 98 56 72 85 20 69 48 64 63 55 77 95
8 24 537 22 25 21 19 10 26 80 70 56 18 38 89 50 57 49 91 27 47 46 51 83 17 71 30 33 84 9 27 5 85 99 75 94 76 6 15 55 61 45 1 42 46 58 42 36 36 40 81
9 24 654 38 22 97 8 51 29 92 86 89 70 90 73 69 16 19 44 21 33 34 17 47 34 58 92 43 52 28 79 91 60 68 13 9 76 63 37 49 25 57 6 67 52 78 52 2 11 48 97
10 24 653 78 92 39 29 19 69 37 83 86 64 98 74 82 46 50 70 87 99 44 17 30 22 20 83 84 88 83 80 17 74 71 45 15 21 27 98 59 42 95 84 24 92 34 45 75 74 52 56
11 24 672 47 72 38 82 11 72 14 27 45 84 71 88 74 37 61 53 86 71 94 80 54 69 23 39 66 53 22 40 78 26 95 76 97 84 57 7 56 70 85 52 5 7 92 79 43 4 31 29
